,title,countries_distinct_count,institutions_distinct_count,cited_by_count,publication_year,id,num_authors,total_author_domain_count,mean_author_domain_count,max_author_domain_count,total_author_field_count,mean_author_field_count,max_author_field_count,total_author_subfield_count,mean_author_subfield_count,max_author_subfield_count
0,Rehabilitation Exercise Segmentation for Autonomous Biofeedback Systems with ConvFSM,1,1,8,2019,https://openalex.org/W2965477138,5,4,3.4,4,15,7.2,9,44,15.8,18
1,Research on Security and Privacy Issues of NDN,1,1,1,2014,https://openalex.org/W2053505887,2,3,2.0,3,8,4.5,8,18,9.5,18
2,A Certain Approach to Solving of Some One-Dimensional Contact Problems,1,1,0,2011,https://openalex.org/W2981738541,2,4,3.5,4,11,8.5,9,25,17.5,19
3,On the self-dual codes with an automorphism of order 5,1,1,12,2019,https://openalex.org/W2988740442,2,1,1.0,1,2,2.0,2,4,3.0,4
4,Joint Level Collision Avoidance for Industrial Robots,2,2,9,2012,https://openalex.org/W2070529145,3,3,2.6666666666666665,3,7,4.333333333333333,5,18,10.0,14
5,Formation of the intelligent culture of students – of future officers of the rescue service in the process of studying math academic subjectsr,0,0,1,2019,https://openalex.org/W3014334432,2,3,2.5,3,5,4.5,5,6,5.0,5
6,On the relative proof complexity of deep inference via atomic flows,1,1,4,2015,https://openalex.org/W1546322673,1,3,3.0,3,6,6.0,6,9,9.0,9
7,Computer Demonstrations,1,1,0,1996,https://openalex.org/W4243173515,4,1,1.0,1,1,1.0,1,1,1.0,1
8,A Curiosity Concerning the Representation of Integers in Noninteger Bases,0,0,0,1988,https://openalex.org/W4234473397,1,1,1.0,1,1,1.0,1,1,1.0,1
9,Transition effect detection for extracting highlights in baseball videos,1,1,2,2013,https://openalex.org/W2131735122,5,3,1.6,3,9,3.4,7,27,6.8,17
10,Solving Classification Problem using Reduced Dimension and Eigen Structure in RSVM,0,0,0,2015,https://openalex.org/W2288905066,4,4,2.25,4,11,4.25,8,26,8.75,19
11,Component-based Parallel Programming for Peta-scale Particle Simulations,0,0,0,2013,https://openalex.org/W2401457798,3,4,2.6666666666666665,4,14,7.666666666666667,8,43,18.666666666666668,20
12,Applying a Model Transformation Taxonomy to Graph Transformation Technology,3,5,74,2006,https://openalex.org/W2163809935,4,3,2.25,3,9,5.25,7,31,14.75,20
13,Keyword extraction for film reviews based on social network analysis and natural language technology,1,2,1,2020,https://openalex.org/W3148304516,2,1,1.0,1,1,1.0,1,1,1.0,1
14,Method of Pitch Measurement Based on Packet Speech,1,1,0,2019,https://openalex.org/W2961447114,1,1,1.0,1,1,1.0,1,1,1.0,1
15,The Effects of Learning Motivation Promotion Group Art Therapy on Motivation for Learning and Academic Self-Efficacy of Elementary School Student,0,0,0,2011,https://openalex.org/W2319327764,2,3,3.0,3,10,8.5,10,22,14.0,16
16,Visual gaze analysis of robotic pedestrians moving in urban space,1,1,11,2012,https://openalex.org/W2063980637,7,4,2.5714285714285716,4,17,5.285714285714286,9,47,10.0,18
17,J-PRiM: A Java Tool for a Process Reengineering i* Methodology,1,1,31,2006,https://openalex.org/W2103123591,3,4,2.6666666666666665,4,9,4.333333333333333,7,26,11.0,18
18,Why not negation by fixpoint?,1,2,73,1988,https://openalex.org/W2091631741,2,3,2.5,3,8,6.0,7,14,11.0,12
19,Analysis of effective sentences in the scientific papers of the students of Politeknik Negeri Bali,1,1,0,2018,https://openalex.org/W4242310386,2,2,2.0,2,4,3.0,4,6,4.5,6
20,Enhancing the Fairness of PGMCC,0,0,0,2003,https://openalex.org/W790989126,0,0,0.0,0,0,0.0,0,0,0.0,0
21,"Comprehensive Presuppositions Regarding Nature of Science, Scientific Causality, and Nature Held by In-service Secondary Science Teachers",0,0,0,2014,https://openalex.org/W2509949819,2,4,3.0,4,11,6.5,11,22,11.5,21
22,Advanced digital photoelastic investigations on the tooth–bone interface,1,1,47,2001,https://openalex.org/W1971495374,2,4,3.5,4,12,7.5,9,29,16.5,18
23,Roles of Perceived Needs for English of Adult EFL Learners and Differences in Social Contexts between Korea and Japan,0,0,0,2016,https://openalex.org/W2609684125,3,4,3.0,3,13,7.0,8,27,12.333333333333334,16
24,Long-horizon Robotic Search and Classification using Sampling-based Motion Planning,1,1,9,2015,https://openalex.org/W2273896863,1,3,3.0,3,5,5.0,5,14,14.0,14
25,Learning user's preferences by analyzing Web-browsing behaviors,1,1,69,2000,https://openalex.org/W1998403501,2,4,2.5,4,9,5.5,6,24,13.0,19
26,A Cognitive Simulator for Learning the Nature of Human Problem Solving,1,1,1,2008,https://openalex.org/W2144769582,1,4,4.0,4,5,5.0,5,15,15.0,15
27,Minimal Realization and Irreducible Transfer Function Matrix with Minimum Number of Parameters,1,1,0,1984,https://openalex.org/W2328331710,1,3,3.0,3,7,7.0,7,10,10.0,10
28,An implementation of norm-based agent negotiation,1,2,6,2007,https://openalex.org/W2123838328,3,4,3.3333333333333335,4,12,6.666666666666667,10,26,11.666666666666666,18
29,Using of convolutional neural networks for steganalysis of digital images,0,0,3,2020,https://openalex.org/W3092331627,2,1,1.0,1,1,1.0,1,1,1.0,1
30,Collision Avoidance using Arduino,1,1,0,2018,https://openalex.org/W2912812098,1,2,2.0,2,3,3.0,3,3,3.0,3
31,A Family-Based Evolutional Approach for Kernel Tree Selection in SVMs,2,2,0,2010,https://openalex.org/W1963981706,2,4,3.0,4,8,4.5,6,18,10.5,15
32,Characterization of symmetric M-matrices as resistive inverses,1,1,23,2009,https://openalex.org/W2017587938,4,3,2.0,3,13,6.5,10,32,14.25,18
33,Optimizing Logarithmic Arithmetic on FPGAs,2,2,15,2007,https://openalex.org/W3150271900,2,2,2.0,2,5,4.5,5,11,9.0,9
